TERM	NAME
ALANINE-SYN2-PWY	NAD de novo biosynthesis I (from aspartate)
PWY0-1021	labdenediol and sclareol biosynthesis
ALACAT2-PWY	astaxanthin biosynthesis (flowering plants)
ALANINE-DEG3-PWY	chlorophyll a degradation II
ARGSYN-PWY	urate conversion to allantoin I
ARGSYNBSUB-PWY	ajmaline and sarpagine biosynthesis
ARGASEDEG-PWY	L-ascorbate degradation IV
ARGDEGRAD-PWY	sesamin biosynthesis
ARG-PRO-PWY	colchicine biosynthesis
PWY-882	stigma estolide biosynthesis
PWY4FS-11	sphingolipid biosynthesis (plants)
PWY-6960	quercetin glucoside biosynthesis (Allium)
PWY-6704	genistin gentiobioside biosynthesis
ASPARAGINE-BIOSYNTHESIS	bisbenzylisoquinoline alkaloid biosynthesis
PWY490-4	superpathway of pyrimidine nucleobases salvage
ASPARAGINE-DEG1-PWY	Amaryllidacea alkaloids biosynthesis
PWY-4002	baicalein metabolism
ASPARTATESYN-PWY	3-amino-3-phenylpropanoyl-CoA biosynthesis
CITRULBIO-PWY	phosphatidylcholine biosynthesis IV
CITRULLINE-DEG-PWY	hypusine biosynthesis
CYSTSYN-PWY	glycolysis IV (plant cytosol)
GLUTAMATE-SYN2-PWY	pentose phosphate pathway
GLUGLNSYN-PWY	CMP-3-deoxy-D-manno-octulosonate biosynthesis
PWY-4341	folate polyglutamylation
GLUTAMATE-DEG1-PWY	methylerythritol phosphate pathway I
PWY-4321	chorismate biosynthesis from 3-dehydroquinate
GLNSYN-PWY	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-6549	acyl carrier protein metabolism
HISTSYN-PWY	L-valine biosynthesis
PWY-1186	&delta-guaiene biosynthesis
HOMOSERSYN-PWY	pyrimidine deoxyribonucleosides salvage
ILEUSYN-PWY	gossypetin metabolism
ILEUDEG-PWY	superpathway of acylsucrose biosynthesis (wild tomato)
LEUSYN-PWY	indole degradation to anthranil and anthranilate
LEU-DEG2-PWY	D-sorbitol degradation I
PWY-5097	(5Z)-icosenoate biosynthesis
PWY0-461	reductive TCA cycle I
PWY-702	calystegine biosynthesis
METHIONINE-DEG1-PWY	palustric acid biosynthesis
PWY-701	adenosine ribonucleotides de novo biosynthesis
PWY-7528	flavonoid di-C-glucosylation
PWY-7270	cardenolide glucosides biosynthesis
PWY-6922	melibiose degradation
PWY-5957	lampranthin biosynthesis
GLUTORN-PWY	luteolin glycosides biosynthesis
ARGININE-SYN4-PWY	"2&alpha,7&beta-dihydroxylation of taxusin"
PWY-3462	9-lipoxygenase and 9-allene oxide synthase pathway
PWY-7432	oryzalexin D and E biosynthesis
PWY-5079	esculetin biosynthesis
PWY-7158	"2,4,6-trinitrotoluene degradation"
PWY-7861	folate polyglutamylation II
PWY-3341	phosphatidylcholine biosynthesis III
PWY-4281	caffeoylglucarate biosynthesis
PROUT-PWY	sinapate ester biosynthesis
PWY-6281	leucopelargonidin and leucocyanidin biosynthesis
SERSYN-PWY	isoflavonoid biosynthesis I
PWY-8011	geranyl diphosphate biosynthesis
HOMOSER-THRESYN-PWY	phosphatidylethanolamine biosynthesis II
TRPSYN-PWY	superpathway of C28 brassinosteroid biosynthesis
PWY-5651	sulfoquinovosyl diacylglycerol biosynthesis
PWY-3181	stearate biosynthesis II (bacteria and plants)
PWY-3461	carotenoid cleavage
PWY-6120	germacrene biosynthesis
VALSYN-PWY	kaempferol gentiobioside biosynthesis
VALDEG-PWY	aloesone biosynthesis I
PWY-6645	benzoyl-&beta-D-glucopyranose biosynthesis
PWY18C3-18	betacyanin biosynthesis
PWY-5828	"cyanidin 3,7-diglucoside polyacylation biosynthesis"
PWY-5175	cornusiin E biosynthesis
PWY-7265	allantoin degradation to glyoxylate II
PWY-6132	piperine biosynthesis
PWY-1	adenosine deoxyribonucleotides de novo biosynthesis
PWY-5471	acylsucrose biosynthesis (Solanum habrochaites)
PWY-5801	oxalate degradation IV
PWY-5152	UDP-glucose biosynthesis (from sucrose)
PWY1F-823	lathyrine biosynthesis
PWY-5412	brassinosteroids inactivation
PWY-7182	detoxification of reactive carbonyls in chloroplasts
PWY-3022	4-hydroxybenzoate biosynthesis IV (plants)
PWY-3121	UDP-&alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-5365	L-histidine biosynthesis
PWY-5995	superpathway of rosmarinic acid biosynthesis
PWY-7091	pinocembrin C-glucosylation
NAGLIPASYN-PWY	hesperitin glycoside biosynthesis
PWY-4541	(-)-camphor biosynthesis
PWY-4562	GDP-L-galactose biosynthesis
PWY0-501	perillyl aldehyde biosynthesis
PWY-5143	caffeine biosynthesis II (via paraxanthine)
PWY-5990	botryococcenes and methylated squalene biosynthesis
PWY-6002	hispidol and hispidol 4'-O-&beta-D-glucoside biosynthesis
PWY-5468	glycolate and glyoxylate degradation II
PWY-112	ethanol degradation IV
PWY-5967	ginsenosides biosynthesis
PWY-5132	UDP-&alpha-D-glucose biosynthesis I
PWY-5947	santalene biosynthesis II
PWY-5060	baruol biosynthesis
PWY-6239	allantoin degradation to glyoxylate III
PWY-7444	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)
PWY-7445	N-glucosylnicotinate metabolism
PWY-7252	tea aroma glycosidic precursor bioactivation
PWY-6524	acylsucrose biosynthesis (Solanum pennellii)
PWY-7943	palmitoleate biosynthesis II (plants and bacteria)
LYSINE-DEG2-PWY	ceramide degradation
PWYQT-1	zealexin biosynthesis
PWY-2701	o-diquinones biosynthesis
PWY-5876	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)
PWY-7047	wogonin metabolism
PWY-7048	"phenylpropanoid biosynthesis, initial reactions"
PWY-6109	hyperforin and adhyperforin biosynthesis
PWY-3881	calendate biosynthesis
PWY-3861	chrysophanol biosynthesis
PWY-6005	palmatine biosynthesis
PWY-5466	lupeol biosynthesis
PWY-5793	polymethylated kaempferol biosynthesis
PWY-2561	aurone biosynthesis
PWY0-1301	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-3061	glycerol degradation I
PWY-7614	"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis"
PWY-6303	PRPP biosynthesis
PWY0A-6303	isoflavonoid biosynthesis II
PWY-7007	gibberellin biosynthesis II (early C-3 hydroxylation)
PWY-6913	phosphatidylcholine biosynthesis II
NONMEVIPP-PWY	VTC2 cycle
PWY-7560	cis-vaccenate biosynthesis
PWY-5386	"benzoate biosynthesis II (CoA-independent, non-&beta-oxidative)"
PWY-6730	superpathway of benzoxazinoid glucosides biosynthesis
PWY-6064	superpathway of glandular trichomes produced diterpenoids (tobacco)
PWY18C3-22	vitamin E biosynthesis (tocopherols)
PWY18C3-24	acetate and ATP formation from acetyl-CoA II
PWY-922	gallotannin biosynthesis
PWY-4985	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
PWY-6823	mannitol biosynthesis
PWY-7477	glutathione-mediated detoxification II
PWY18C3-8	"dammara-20,24-diene biosynthesis"
PWY-83	jasmonoyl-amino acid conjugates biosynthesis I
PWY-3041	phytate degradation I
PWY-5270	taxiphyllin bioactivation
PWY-2301	carnosate bioynthesis
PWY-7140	"violaxanthin, antheraxanthin and zeaxanthin interconversion"
PWY-5388	tetrapyrrole biosynthesis I (from glutamate)
PWY-5315	"1,3-&beta-D-glucan biosynthesis"
PWY-7463	dimethylsulfoniopropanoate biosynthesis II (Spartina)
PWY-5653	bergamotene biosynthesis I
NAD-BIOSYNTHESIS-III	L-methionine degradation II
PYRIDNUCSYN-PWY	superpathway of tetrahydroxyxanthone biosynthesis
NADSYN-PWY	zerumbone biosynthesis
PWY-5083	chitin degradation III (carnivorous plants)
PWY-7397	"caffeine degradation I (main, plants)"
PWY-6602	quercetin glycoside biosynthesis (Arabidopsis)
PWY-5094	chlorophyll a biosynthesis III
PWY-5413	photosynthesis light reactions
PWY-7092	indole-3-acetate activation II
PWY-6809	glucosinolate biosynthesis from trihomomethionine
PWY-6287	coumarin metabolism (to melilotic acid)
PWY-7298	superpathway of L-threonine biosynthesis
PWY-5316	terminal olefins biosynthesis I
PWY-381	acyl-[acyl-carrier protein] thioesterase pathway
PWY-6845	methylbutenol biosynthesis
PWY-4983	mevalonate pathway I
PWY-7683	anthocyanidin sophoroside metabolism
PWY-5805	ethiin metabolism
PWY-6520	rosmarinic acid biosynthesis II
PWY-7138	ethanol degradation I
PWY-6237	L-asparagine degradation II
PWY-6752	"C4 photosynthetic carbon assimilation cycle, NAD-ME type"
PWY-7069	brassinosteroid biosynthesis III
PWY-5147	acyl-CoA hydrolysis
PWY-5423	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PWY-5425	UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)
PWY-5787	guanine and guanosine salvage III
PWY-7105	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-6295	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
PWY-6468	resveratrol biosynthesis
PWY-6465	cis-abienol biosynthesis
PWY-8043	cadmium transport I
PWY4LZ-81	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-7060	D-galactose detoxification
PWY-7489	nevadensin biosynthesis
PWY-7478	cytokinins degradation
PWY-7481	dehydroscoulerine biosynthesis
PWY-6699	furcatin degradation
PWY-6697	L-asparagine degradation I
PWY-7985	propanethial S-oxide biosynthesis
PWY-6502	eugenol and isoeugenol biosynthesis
PWY-5470	indole-3-acetate inactivation VIII
PWY-5971	choline biosynthesis III
PWY-5366	nitric oxide biosynthesis I (plants)
PWY-5414	indole-3-acetate activation I
PWY-7363	crocetin esters biosynthesis
PWY-8027	zymosterol biosynthesis
PWY-6258	isopimaric acid biosynthesis
PWY-5139	taxol biosynthesis
PWY-7259	terminal olefins biosynthesis II
PWY-5475	bornyl diphosphate biosynthesis
PWY-12	trichome monoterpenes biosynthesis
PENTOSE-P-PWY	bisabolene biosynthesis (engineered)
NONOXIPENT-PWY	"avenacin biosynthesis, initial reactions"
OXIDATIVEPENT-PWY	L-methionine biosynthesis II (plants)
PWY-6062	3-dehydroquinate biosynthesis I
PWY-6436	dihydroconiferyl alcohol biosynthesis
PWY-5367	camalexin biosynthesis
PWY-6320	homospermidine biosynthesis
PWY-3042	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-6930	alliin metabolism
PWY-5751	neurosporene biosynthesis
PWY-7074	trans-zeatin biosynthesis
PWY-7075	superpathway of indole-3-acetate conjugate biosynthesis
PWY-6438	purine uptake
PWY-361	L-alanine degradation II (to D-lactate)
PWY1F-467	glycine biosynthesis
PWY18C3-21	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-7498	6-gingerol analog biosynthesis (engineered)
PWY-6515	monoterpene biosynthesis
PWY-6348	superpathway of acylsucrose biosynthesis (cultivated tomato)
PWY-7039	glutamate removal from folates
PWYIO2-6	(R)-canadine biosynthesis
PWY-6803	heliocides biosynthesis
PWY3O-450	methylquercetin biosynthesis
PWY4FS-2	calycosin 7-O-glucoside biosynthesis
PWY4FS-3	seleno-amino acid detoxification and volatilization III
PWY4FS-4	&omega- hydroxylation of laurate
PWY4FS-6	hypericin biosynthesis
PWY-6273	L-phenylalanine degradation III
PWY4FS-7	umbelliferone biosynthesis
PWY4FS-8	UTP and CTP dephosphorylation II
PWY-7625	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5669	lychnose and isolychnose biosynthesis
LIPASYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
PWYIO2-5	glucosinolate biosynthesis from hexahomomethionine
PWY-762	L-asparagine biosynthesis I
PANTO-PWY	dTDP-L-rhamnose biosynthesis II
PWY-3961	pyrimidine ribonucleotides interconversion
PWY-181	thio-molybdenum cofactor biosynthesis
PWY-101	UTP and CTP de novo biosynthesis
PWY-5027	chitin degradation II (Vibrio)
PWY-4702	"L-phenylalanine biosynthesis III (cytosolic, plants)"
PWY-4781	choline biosynthesis II
PWY-7484	L-arginine degradation VI (arginase 2 pathway)
PWY-6745	wax esters biosynthesis I
PWY-7170	biotin-carboxyl carrier protein assembly
PWY-5107	aloesone biosynthesis II
PWY-2541	pyridine nucleotide cycling (plants)
PWY-5063	cytokinins 9-N-glucoside biosynthesis
PWY-6738	superpathway of pantothenate and coenzymeA biosynthesis
PWY-6739	vernolate biosynthesis III
PWY-5059	gibberellin biosynthesis V
PWY-7189	"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)"
PWY-7152	sakuranetin biosynthesis
PWY-5045	linalool biosynthesis I
PWY-5752	tetraacylsucrose biosynthesis (Solanum)
PWY-6663	cutin biosynthesis
PWY-1581	"2-carboxy-1,4-naphthoquinol biosynthesis"
PWY-6691	3-carene biosynthesis
PWY-6314	superpathway of hydrolyzable tannin biosynthesis
PWY-7491	usnate biosynthesis
PWY-6710	saponin biosynthesis III
PWYQT-4449	adlupulone and adhumulone biosynthesis
PWY-7163	adenosine nucleotides degradation I
PWY-7160	indole-3-acetate inactivation III
PWY-7161	adenine and adenosine salvage VI
PWY-7150	betalamic acid biosynthesis
PWY-7151	&gamma-coniciene and coniine biosynthesis
PWY-5118	tetrahydrofolate biosynthesis II
PPGPPMET-PWY	serinol biosynthesis
PWY-641	lutein biosynthesis
PWY-5707	neolinustatin bioactivation
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	kaempferol glycoside biosynthesis (Arabidopsis)
PWY-7899	dicranin biosynthesis
PWY0-662	xylan biosynthesis
PWY-7824	"3,4-dihydroxymandelonitrile &beta-D-glucose biosynthesis"
PWY-6665	superpathway of ergosterol biosynthesis II
PWY-5374	lawsone biosynthesis
PWY-7224	triacylsucrose biosynthesis (Solanum)
PWY-5043	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
PWY-5044	chrysin biosynthesis
PWY-6227	superpathway of branched chain amino acid biosynthesis
PWY-40	galactosylcyclitol biosynthesis
PWY-43	superpathway of L-phenylalanine and L-tyrosine biosynthesis
PWY-46	L-citrulline degradation
PWY-6305	glutaminyl-tRNAgln biosynthesis via transamidation
PWY-2	(S)-reticuline biosynthesis I
PWY-6926	cichoriin interconversion
PWY-5381	ephedrine biosynthesis
PWY-6466	valencene and 7-epi-&alpha-selinene biosynthesis
PLPSAL-PWY	indole-3-acetate inactivation IV
PWY-7204	echinatin biosynthesis
PWY-7199	ricinine degradation
PWY-7197	&beta-carotene biosynthesis
PWY-7184	ternatin C3 biosynthesis
PWY-7187	phospholipid desaturation
PWY-7183	oxalate biosynthesis
PWY-7193	superpathway of phylloquinol biosynthesis
PWY-6556	"D-myo-inositol (1,4,5)-trisphosphate degradation"
PWY-5687	yatein biosynthesis I
PWYQT-4445	(3R)-linalool biosynthesis
PYRUVDEHYD-PWY	"phytocassanes biosynthesis, shared reactions"
PWY-5481	linamarin degradation
PWY-5485	"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"
PWY-5600	esculetin modification
PWY3O-440	UDP-&beta-L-rhamnose biosynthesis
PWY-5480	(3S)-linalool biosynthesis
PWY-5486	luteolin biosynthesis
PWY-7192	superpathway of polyamine biosynthesis II
PWY-7137	capsidiol biosynthesis
PWY-7129	justicidin B biosynthesis
PWY-7133	cholesterol biosynthesis (plants)
PWY-5321	uracil degradation I (reductive)
PWY-6199	kaempferol diglycoside biosynthesis (pollen-specific)
PWY-7173	gossypol biosynthesis
PWY-5393	pyruvate fermentation to ethanol I
P23-PWY	superpathway of nicotine biosynthesis
PWY-84	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-6923	abscisic acid degradation by glucosylation
PWY-7618	superpathway of hyoscyamine and scopolamine biosynthesis
PWY-6429	glucosinolate activation
PWY-5809	superpathway of flavones and derivatives biosynthesis
PWY-5160	sucrose biosynthesis I (from photosynthesis)
PWY-7262	salidroside biosynthesis
PWY-5048	quercetin sulfate biosynthesis
PWY-5049	galloylated catechin biosynthesis
PWY-6427	xanthohumol biosynthesis
PWY-5775	cellulose biosynthesis
PWY-6425	proanthocyanidins biosynthesis from flavanols
PWY-5815	GDP-mannose biosynthesis
PWY-5723	indigo biosynthesis
PWY-5390	indican biosynthesis
PWY-7134	ethanol degradation II
SAM-PWY	assimilatory sulfate reduction II
PWY-5041	spermine and spermidine degradation III
PWY-6754	folate transformations II
PWY-6755	flavonol acylglucoside biosynthesis I - kaempferol derivatives
PWY-4361	dimethylsulfoniopropanoate biosynthesis III (algae)
PWY-5441	magnoflorine biosynthesis
PWY-5116	willardiine and isowillardiine biosynthesis
PWY-6766	acridone alkaloid biosynthesis
PWY-6763	divinyl ether biosynthesis I
PWY-6406	ophthalmate biosynthesis
PWY-981	amygdalin and prunasin degradation
PWY-6621	fenchol biosynthesis II
PWY-6623	tetrahydrofolate biosynthesis
PWY-6624	oligomeric urushiol biosynthesis
PWY-6762	salicylate glucosides biosynthesis II
PWY-6802	superpathway of tetrahydrofolate biosynthesis
PWY-5268	L-glutamine biosynthesis III
PWY-7325	&beta-alanine betaine biosynthesis
PWY-5287	alkane oxidation
PWY-6254	phosphate acquisition
PWY-6836	putrescine degradation IV
PWY-5362	"C4 photosynthetic carbon assimilation cycle, PEPCK type"
PWY-5756	ammonia assimilation cycle II
PWY-5759	L-tyrosine biosynthesis III
PWY-5774	glutathione-peroxide redox reactions
PWY-6598	phenylethanol biosynthesis
PWY-6792	diterpene phytoalexins precursors biosynthesis
PWY4FS-10	inosine 5'-phosphate degradation
PWY-5290	superpathway of glyoxylate cycle and fatty acid degradation
PWY-6932	polymethylated quercetin biosynthesis
PWY-6936	superpathway of lipoxygenase
PWY-6931	acetaldehyde biosynthesis II
PWY-6935	superpathway of fatty acid biosynthesis II (plant)
PWY-6933	L-arginine degradation V (arginine deiminase pathway)
PWY-6294	superpathway of linalool biosynthesis
PWY-6456	avenacin A-1 biosynthesis
PWY-6030	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-5469	luteolin triglucuronide degradation
PWY-7139	thiazole biosynthesis III (eukaryotes)
PWY-2961	phytate degradation II
PWY-5701	oleanolate biosynthesis
PWY-5284	D-sorbitol biosynthesis I
PWY-5868	brassinosteroid biosynthesis II
PWY-3301	selenate reduction
PWY-5194	pterostilbene biosynthesis
PWY18C3-2	L-valine degradation I
PWY18C3-4	&beta-cubebene biosynthesis
PWY-6914	phosphopantothenate biosynthesis I
PWY-5987	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-5203	glycerolipid acyl chain desaturation (Chlamydomonas)
BSUBPOLYAMSYN-PWY	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-6442	all-trans-farnesol biosynthesis
PWY-6440	luteolinidin 5-O-glucoside biosynthesis
PWY-6441	jasmonoyl-amino acid conjugates biosynthesis II
ARGSPECAT-PWY	epiberberine biosynthesis
PWY-5129	malate-oxaloacetate shuttle I
PWY-6733	UTP and CTP dephosphorylation I
PWY-5337	Inorganic Nitrogen Assimilation
PWY-6527	superpathway of pterocarpan biosynthesis (via formononetin)
PWY-622	L-leucine degradation I
PWY-842	UDP-&alpha-D-glucuronate biosynthesis (from UDP-glucose)
PWY-6724	plastoquinol-9 biosynthesis I
PWY-5989	L-serine biosynthesis I
PWY-6525	curcumin glucoside biosynthesis
PWY-4942	fenchone biosynthesis
PWY-7070	coumarin biosynthesis (via 2-coumarate)
PWY-7071	acylated cyanidin galactoside biosynthesis
PWY-6453	cardiolipin biosynthesis II
PWY-1121	ornithine-citrulline shuttle
SUCSYN-PWY	papaverine biosynthesis
PWY-7238	oxidized GTP and dGTP detoxification
PWY-3801	L-asparagine biosynthesis III (tRNA-dependent)
PWY-621	violdelphin biosynthesis
PWY-5340	L-isoleucine degradation I
PWY-5326	arctigenin and isoarctigenin biosynthesis
PWYQT-4427	phenylethanol glycoconjugate biosynthesis
PWY-6736	UDP-&beta-L-arabinose biosynthesis I (from UDP-&alpha-D-xylose)
DETOX1-PWY	glucosinolate biosynthesis from tryptophan
PWY-5918	rotenoid biosynthesis II
PWY-6555	&alpha-amyrin biosynthesis
PWY-5173	peonidin and derivatives biosynthesis
PWY18C3-12	trigonelline biosynthesis
PWY18C3-17	pyruvate fermentation to (S)-lactate
PWY-7229	neoxanthin biosynthesis
URDEGR-PWY	DIMBOA-glucoside activation
PWY-6176	emetine biosynthesis
PWY-3282	morphine biosynthesis
PWY-7345	protein N-glycosylation initial phase (eukaryotic)
PWY-5313	glycolysis II (from fructose 6-phosphate)
PWY-5310	benzoyl-CoA biosynthesis
PWY-5312	chlorogenic acid biosynthesis I
PWY-7476	"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"
PWY-4161	superpathway of plastoquinol biosynthesis
PWY-5405	coptisine biosynthesis
PWY-5134	superpathway of fermentation (Chlamydomonas reinhardtii)
BRANCHED-CHAIN-AA-SYN-PWY	L-arginine biosynthesis II (acetyl cycle)
PWY-6544	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
CAROTENOID-PWY	mimosine biosynthesis
PWY-4762	rosmarinic acid biosynthesis I
PWY-4221	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis
PWY-5464	L-citrulline biosynthesis
PWY-5416	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-7156	camptothecin biosynthesis
PWY-5156	very long chain fatty acid biosynthesis II
PWY4LZ-257	"benzoate biosynthesis I (CoA-dependent, &beta-oxidative)"
PWY-6266	superpathway of photosynthetic hydrogen production
PWY-6266-ARA	"oryzalexin A, B, and C biosynthesis"
PWY-5717	momilactone A biosynthesis
PWY-5121	superpathway of allantoin degradation in plants
PWY-5910	L-isoleucine biosynthesis I (from threonine)
PWY-5052	L-aspartate biosynthesis
PWY-5053	sciadonate biosynthesis
PWY18C3-14	L-alanine degradation III
PWY18C3-6	very long chain fatty acid biosynthesis I
PWY-561	geranyl acetate biosynthesis
PWY-7228	saponin biosynthesis IV
PWY-6595	stellariose and mediose biosynthesis
PWY-5478	oleoresin monoterpene volatiles biosynthesis
PWY-7341	apigenin glycosides biosynthesis
PWY-1782	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-3097	capsaicin biosynthesis
ILE-VAL-PWY	fructan biosynthesis
PWY-6234	superpathway of isoflavonoids (via naringenin)
PWY-5004	betanidin degradation
PWY-3001	steviol biosynthesis
PWY-724	molybdenum cofactor biosynthesis
PWY-3481	cardenolide biosynthesis
THRESYN-PWY	pinitol biosynthesis I
PWY2OL-4	formononetin conjugates interconversion
PWY-5991	L-tryptophan degradation VI (via tryptamine)
PWY-4765	rutin degradation (plants)
PWY-5433	cytokinin-O-glucosides biosynthesis
PWY18C3-25	diacylglycerol and triacylglycerol biosynthesis
PWY-7342	glutathione degradation
PWY-5424	ubiquinol-9 biosynthesis (eukaryotic)
PWY-4221ARA	amaranthin biosynthesis
PHOSLIPSYN2-PWY	cycloartenol biosynthesis
PWY-7731	cocaine biosynthesis
PWY-5863	indole-3-acetate inactivation VI
PWY-5864	fatty acid elongation -- saturated
PWYQT-94	sulfite oxidation IV
POLYAMINSYN3-PWY	caffeine degradation II
PWY-7149	spermine and spermidine degradation II
PWY-2055	esterified suberin biosynthesis
PWY-2229	medicarpin conjugates interconversion
PWY-841	glycolysis I (from glucose 6-phosphate)
P165-PWY	guanosine nucleotides degradation I
PWY-7200	xylogalacturonan biosynthesis
PWY-7211	&beta-alanine biosynthesis I
PWY0-166	stachyose degradation
PWY-7208	eriodictyol C-glucosylation
PWY-7196	diploterol biosynthesis
PWY0-162	glucosinolate biosynthesis from dihomomethionine
PWY-5071	"phosphatidate metabolism, as a signaling molecule (Chlamydomonas)"
PWY-7186	maackiain conjugates interconversion
PWY-6395	indole-3-acetate inactivation VIII
PWYQT-4466	coenzyme A biosynthesis II (eukaryotic)
PWY-6612	phosphatidylglycerol biosynthesis I (plastidic)
PWY-13	putrescine biosynthesis IV
THISYNARA-PWY	ergosterol biosynthesis II
PWY-5391	"trans, trans-farnesyl diphosphate biosynthesis"
PWY-5867	superpathway of carotenoid biosynthesis in plants
PWY-7392	flavonol acylglucoside biosynthesis III - quercetin derivatives
PWY-7089	glucosinolate biosynthesis from tetrahomomethionine
PWY-7088	CDP-diacylglycerol biosynthesis IV
PWY-5660	capsiconiate biosynthesis
PWY-5690	parkeol biosynthesis
PWYQT-4481	pinitol biosynthesis II
PWY-7114	trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY-7026	"6,7,4'-trihydroxyisoflavone biosynthesis"
PWY-7029	fenchol biosynthesis I
PWY-7280	5-deoxystrigol biosynthesis
PWY-5295	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"
PWY18C3-11	triacylglycerol degradation
PWY-6614	lanosterol biosynthesis
PWY-3742	urea cycle
PWY-5002	hyperxanthone E biosynthesis
PWY-5001	indole glucosinolate activation (intact plant cell)
PWY-5188	phosphatidylethanolamine biosynthesis III
PWY-5992	anthocyanin biosynthesis
PWY-5039	"C4 photosynthetic carbon assimilation cycle, NADP-ME type"
PWY-5040	L-methionine salvage cycle I (bacteria and plants)
PWY-6908	rubber biosynthesis
PWY-6909	ricinoleate biosynthesis
PWY-5963	S-methyl-5-thio-&alpha-D-ribose 1-phosphate degradation I
THIOREDOX-PWY	soybean saponin I biosynthesis
PWY-5350	pinobanksin biosynthesis
PWY-6430	abscisic acid degradation to neophaseic acid
PWY-5123	phytochromobilin biosynthesis
PWY-5942	glucosinolate biosynthesis from pentahomomethionine
PWY-6475	pyrimidine salvage pathway
PWY-2681	menthol biosynthesis
PWY-5410	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
TRESYN-PWY	kievitone biosynthesis
PWY0-1182	sophoraflavanone G biosynthesis
PWYIO2-7	malate-oxaloacetate shuttle II
LIPAS-PWY	yatein biosynthesis II
PWY18C3-10	superpathway of sucrose and starch metabolism I (non-photosynthetic tissue)
PWY-6631	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-5822	homogalacturonan biosynthesis
PWY-6447	superpathway of polyamine biosynthesis
PWY-7995	(-)-glycinol biosynthesis
PWY-5110	L-methionine salvage cycle II (plants)
PWY-6297	quercetin diglycoside biosynthesis (pollen-specific)
PWY-5872	4-hydroxyindole-3-carbonyl nitrile biosynthesis
PWY-5871	hydroxylated fatty acid biosynthesis (plants)
PWY-7344	canavanine biosynthesis
PWY-4861	aerobic respiration III (alternative oxidase pathway)
PWY-4	cuticular wax biosynthesis
PWY-7343	pentaketide chromone biosynthesis
PWY-4841	berberine biosynthesis
PWY-7346	cyanate degradation
PWY-4821	seleno-amino acid detoxification and volatilization II
PWY-63	superoxide radicals degradation
PWY-82	methylglyoxal degradation I
PWY-3261	D-galactose degradation I (Leloir pathway)
PWY-5113	L-glutamate degradation IV
GALACTMETAB-PWY	cinnamoyl-CoA biosynthesis
PWYQT-4438	luteolin triglucuronide biosynthesis
UDPNACETYLGALSYN-PWY	long-chain fatty acid activation
PWY-6982	homophytochelatin biosynthesis
PWY-5686	rose anthocyanin biosynthesis II (via cyanidin 3-O-&beta-D-glucoside)
PWY-5138	"aliphatic glucosinolate biosynthesis, side chain elongation cycle"
PWY-3982	naringenin glycoside biosynthesis
PWY-5691	pyrimidine deoxyribonucleotide phosphorylation
PWY-4984	juvenile hormone III biosynthesis I
PWY-5703	trichloroethene degradation
PWY-5704	L-proline biosynthesis III
URSIN-PWY	kauralexin biosynthesis
PWY-7068	shikonin biosynthesis
PWY-5810	L-cysteine biosynthesis I
PWY-7176	ent -kaurene biosynthesis II
PWY-7185	abscisic acid degradation to phaseic acid
PWY-7177	farnesylcysteine salvage pathway
PWY-6291	sulfate activation for sulfonation
PWY-5665	fatty acid biosynthesis initiation I
PWY-6014	poly-hydroxy fatty acids biosynthesis
PWY-7634	6'-deoxychalcone metabolism
