TERM	NAME	LINK
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7228
PWY-5884	wax esters biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5884
PWY-6717	"(1,4)-beta-D-xylan degradation"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6717
PWY-6733	sporopollenin precursors biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6733
PWY-5863	superpathway of phylloquinol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5863
PWY-5143	long-chain fatty acid activation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5143
PWY-5271	abscisic acid degradation to phaseic acid	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5271
PWY-6799	fatty acid biosynthesis (plant mitochondria)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6799
PWY-6468	omega- hydroxylation of laurate	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6468
PWY-6910	hydroxymethylpyrimidine salvage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6910
PWY66-399	gluconeogenesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY66-399
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=NONOXIPENT-PWY
PWY-83	monolignol glucosides biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-83
PWY3O-4107	NAD salvage pathway V (PNC V cycle)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY3O-4107
PWY-5148	acyl-CoA hydrolysis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5148
PWY-5064	chlorophyll a biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5064
PWY-6619	adenine and adenosine salvage VI	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6619
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=MALATE-ASPARTATE-SHUTTLE-PWY
PWY-43	putrescine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-43
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-7
GLYSYN2-PWY	glycine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLYSYN2-PWY
PROSYN-PWY	L-proline biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PROSYN-PWY
PWY-5052	superpathway of gibberellin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5052
PWY-283	benzoate degradation II (aerobic and anaerobic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-283
PWY-6235	hydroxyjasmonate sulfate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6235
PWY-6040	chlorogenic acid biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6040
PWY-622	starch biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-622
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-8
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6890
PWY-5723	Rubisco shunt	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5723
PWY-6014	vernolate biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6014
PWY-1121	suberin monomers biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1121
PWY-7560	methylerythritol phosphate pathway II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7560
PWY-6008	baruol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6008
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4427
PWY1F-353	glycine betaine biosynthesis III (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY1F-353
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ARG-PRO-PWY
ASPSYNII-PWY	cyanide detoxification I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPSYNII-PWY
PWY-3841	folate transformations II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3841
PWY-5670	epoxysqualene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5670
CAROTENOID-PWY	superpathway of carotenoid biosynthesis in plants	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=CAROTENOID-PWY
CITRULLINE-DEG-PWY	L-citrulline degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=CITRULLINE-DEG-PWY
PWY-7859	jasmonoyl-L-isoleucine inactivation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7859
PWY-3881	mannitol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3881
PWY-1081	homogalacturonan degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1081
PWY-6115	"avenacin biosynthesis, initial reactions"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6115
PWY-5269	cardiolipin biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5269
PWY-2161	folate polyglutamylation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2161
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1269
ARGSPECAT-PWY	spermine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ARGSPECAT-PWY
PWY-6351	"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6351
PWYQT-4429	CO2 fixation into oxaloacetate (anaplerotic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4429
PWY0-1313	acetate conversion to acetyl-CoA	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-1313
GLYCLEAV-PWY	glycine cleavage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLYCLEAV-PWY
PWY-6441	spermine and spermidine degradation III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6441
PWY-6806	carotenoid cleavage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6806
PWY-5973	cis-vaccenate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5973
PWY4FS-4	phosphatidylcholine biosynthesis IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-4
PWY-5992	thalianol and derivatives biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5992
DETOX1-PWY-1	reactive oxygen species degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=DETOX1-PWY-1
PWY-6266	superpathway of flavones and derivatives biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6266
PWYQT-62	superpathway of proto- and siroheme biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-62
PWY-724	"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-724
PWY-4261	glycerol degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4261
PWY-5765	"1,3,5-trimethoxybenzene biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5765
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7200
PWY-6219	indole-3-acetate inactivation VIII	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6219
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-561
PWY-6952	glycerophosphodiester degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6952
PWY-1187	glucosinolate biosynthesis from homomethionine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1187
PWY-1581	plastoquinol-9 biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1581
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=BRANCHED-CHAIN-AA-SYN-PWY
PWY-7232	gibberellin biosynthesis V	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7232
PWY-6005	marneral biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6005
PWY-4861	UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4861
PWY-5043	purine nucleosides salvage II (plant)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5043
CYANCAT-PWY	cyanate degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=CYANCAT-PWY
PWY-5725	farnesene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5725
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5083
PWY-84	resveratrol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-84
PWY-40	putrescine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-40
PWY-701	L-methionine degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-701
PWY-6273	phosphatidylethanolamine biosynthesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6273
PWY-7417	"phospholipid remodeling (phosphatidate, yeast)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7417
PWY-5129	sphingolipid biosynthesis (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5129
PWY-6845	nitric oxide biosynthesis I (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6845
PWY-3282	superpathway of ammonia assimilation (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3282
ILEUDEG-PWY	L-isoleucine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ILEUDEG-PWY
PWY-7177	UTP and CTP dephosphorylation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7177
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6466
PWY-6369	inositol diphosphates biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6369
PWY-762	phospholipid desaturation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-762
PWY1F-467	"phenylpropanoid biosynthesis, initial reactions"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY1F-467
LIPASYN-PWY	phospholipases	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LIPASYN-PWY
PWY-6802	salidroside biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6802
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HEXPPSYN-PWY
SAM-PWY	S-adenosyl-L-methionine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=SAM-PWY
PWY-7176	UTP and CTP de novo biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7176
PWY-7416	"phospholipid remodeling (phosphatidylcholine, yeast)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7416
PWY-1061	homogalacturonan biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1061
PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7346
PWY-6035	"2,3-cis-flavanols biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6035
PWY-5136	fatty acid beta-oxidation II (peroxisome)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5136
PWY-6823	molybdenum cofactor biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6823
PWY-6922	L-Ndelta-acetylornithine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6922
PWY-6613	"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6613
PWY-2501	fatty acid alpha-oxidation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2501
PWY-3385	choline biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3385
PWY-6481	L-dopa and L-dopachrome biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6481
VALSYN-PWY	L-valine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=VALSYN-PWY
PROUT-PWY	L-proline degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PROUT-PWY
PWY0-1535	D-serine degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-1535
PWY-3781	aerobic respiration I (cytochrome c)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3781
PWY-5349	esculetin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5349
PWY-4983	nitric oxide biosynthesis II (mammals)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4983
PWY-7047	malate-oxaloacetate shuttle I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7047
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5407
PWY-7345	superpathway of anaerobic sucrose degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7345
PWY-7528	L-methionine salvage cycle I (bacteria and plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7528
PWY-5918	superpathay of heme b biosynthesis from glutamate	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5918
LEU-DEG2-PWY	L-leucine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LEU-DEG2-PWY
PWY-5441	S-methyl-L-methionine cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5441
PWY-6305	putrescine biosynthesis IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6305
PWY-7468	benzoyl-beta-D-glucopyranose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7468
PWY-5486	pyruvate fermentation to ethanol II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5486
PWY-5805	nonaprenyl diphosphate biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5805
PWY-7856	heme a biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7856
PWY-4381	fatty acid biosynthesis initiation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4381
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-166
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5313
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-DEG1-PWY
PWY-3261	UDP-beta-L-rhamnose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3261
PWY-6520	nonaprenyl diphosphate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6520
PWY-7067	betulinate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7067
PWY-5152	leucodelphinidin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5152
PWY-5173	superpathway of acetyl-CoA biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5173
PWYQT-4449	polyisoprenoid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4449
PWY-5068	chlorophyll cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5068
PWY0-1319	CDP-diacylglycerol biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-1319
PWY-6745	phytochelatins biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6745
PWY-5122	geranyl diphosphate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5122
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY1F-823
PWY-2724	alkane oxidation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2724
PWY-5409	divinyl ether biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5409
PWY-699	brassinosteroid biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-699
LYSINE-DEG2-PWY	lysine degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG2-PWY
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4661
PWY-2681	trans-zeatin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2681
PWY-6317	D-galactose degradation I (Leloir pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6317
PWY-1881	formate oxidation to CO2	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1881
PWY-6938	NADH repair	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6938
PWY-5390	rutin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5390
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6163
PENTOSE-P-PWY	pentose phosphate pathway	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PENTOSE-P-PWY
PWY-3941	beta-alanine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3941
PWY-2901	cytokinins 9-N-glucoside biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2901
CAMALEXIN-SYN	camalexin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=CAMALEXIN-SYN
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PHOSLIPSYN2-PWY
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY490-4
PWY-5944	zeaxanthin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5944
PWY4FS-3	phosphatidylcholine biosynthesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-3
SERSYN-PWY	L-serine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=SERSYN-PWY
PWY-4702	phytate degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4702
PWY-6801	volatile esters biosynthesis (during fruit ripening)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6801
PWY-6668	"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6668
PWY-6348	phosphate acquisition	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6348
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPARAGINESYN-PWY
PWY-6935	seleno-amino acid detoxification and volatilization II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6935
PWY-1042	glycolysis IV (plant cytosol)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1042
ASPARTATE-DEG1-PWY	L-aspartate degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPARTATE-DEG1-PWY
PWY-4562	"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4562
PWYQT-4481	TCA cycle variation V (plant)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4481
PWY-6364	"D-myo-inositol (1,3,4)-trisphosphate biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6364
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-O-beta-D-glucoside)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5160
PWY-6239	luteolin glycosides biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6239
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HOMOCYSDEGR-PWY
PWY-6443	"benzoate biosynthesis I (CoA-dependent, beta-oxidative)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6443
PWY0A-6303	methyl indole-3-acetate interconversion	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0A-6303
PWY-6444	"benzoate biosynthesis II (CoA-independent, non-beta-oxidative)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6444
PWY-6614	tetrahydrofolate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6614
PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5111
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-5
PWY-6446	"benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6446
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7625
PWY-7640	abscisic acid degradation to neophaseic acid	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7640
PWY0-461	L-lysine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-461
PWY-6624	salicylate glucosides biosynthesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6624
PWY-1741	indole-3-acetate inactivation IX	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1741
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLYOXDEG-PWY
PWY-7221	guanosine ribonucleotides de novo biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7221
PWY-5936	xyloglucan biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5936
PWY-7343	UDP-alpha-D-glucose biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7343
PWY-2	putrescine degradation IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2
PWY-581	indole-3-acetate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-581
PWY-101	photosynthesis light reactions	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-101
PWY-5343	ajugose biosynthesis II (galactinol-independent)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5343
PWY-7432	"L-phenylalanine biosynthesis III (cytosolic, plants)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7432
