Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-6950	PROTON // ADENOSYL-HOMO-CYS // CPD-6562 // S-ADENOSYLMETHIONINE // CARBON-DIOXIDE // SUC // CPD-13812 // CPD-13811 // OXYGEN-MOLECULE // 2-KETOGLUTARATE	MONOMERDQC-52613 // ZM00001D049181-MONOMER // ZM00001D049265-MONOMER // MONOMER-16976 // MONOMERDQC-6 // ZM00001D044954-MONOMER // ZM00001D023933-MONOMER // ZM00001D048634-MONOMER // MONOMERDQC-58847 // ZM00001D024258-MONOMER // MONOMER-10142	ZM00001D049179 // ZM00001D049181 // ZM00001D049265 // G-14794 // GDQC-114717 // ZM00001D044954 // ZM00001D023933 // ZM00001D048634 // ZM00001D007718 // ZM00001D024258 // G-7822	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-6685 // RXN-6687	CPD-13811 // OXYGEN-MOLECULE // 2-KETOGLUTARATE // S-ADENOSYLMETHIONINE	SUC // CARBON-DIOXIDE // CPD-6562 // ADENOSYL-HOMO-CYS // PROTON
PWY-6054	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MET // NADH // SS-DIMETHYL-BETA-PROPIOTHETIN // WATER // NAD // Amino-Acids-20 // CARBON-DIOXIDE // CPD-10472 // CPD-397 // 2-Oxo-carboxylates // PROTON	CPLX-7667 // MONOMER-14236	G-10870	Dimethylsulfoniopropionate-Biosynthesis	RXN-9759 // RXN-9758 // METHIONINE-S-METHYLTRANSFERASE-RXN	2-Oxo-carboxylates // WATER // NAD // S-ADENOSYLMETHIONINE // MET	CARBON-DIOXIDE // Amino-Acids-20 // SS-DIMETHYL-BETA-PROPIOTHETIN // NADH // ADENOSYL-HOMO-CYS
PWY-6055	ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MET // CARBON-DIOXIDE // CPD-397 // HYDROGEN-PEROXIDE // AMMONIUM // CPD-10471 // OXYGEN-MOLECULE // PROTON // NADH // SS-DIMETHYL-BETA-PROPIOTHETIN // CPD-10472 // WATER // NAD	MONOMER-14238 // MONOMER-14239		Dimethylsulfoniopropionate-Biosynthesis	RXN-9758 // RXN-9757 // RXN-9756 // METHIONINE-S-METHYLTRANSFERASE-RXN	WATER // NAD // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // MET	SS-DIMETHYL-BETA-PROPIOTHETIN // NADH // AMMONIUM // HYDROGEN-PEROXIDE // CARBON-DIOXIDE // ADENOSYL-HOMO-CYS
PWY-6053	CARBON-DIOXIDE // SS-DIMETHYL-BETA-PROPIOTHETIN // WATER // Demethylated-methyl-acceptors // CPD-10470 // Methylated-methyl-acceptors // PROTON // Acceptor // CPD-10468 // Donor-H2 // Amino-Acids-20 // CPD-479 // MET // 2-Oxo-carboxylates			Dimethylsulfoniopropionate-Biosynthesis	R15-RXN // RXN-9753 // RXN-9754 // RXN-9755	MET // 2-Oxo-carboxylates // Methylated-methyl-acceptors // PROTON // WATER	Amino-Acids-20 // Demethylated-methyl-acceptors // SS-DIMETHYL-BETA-PROPIOTHETIN // CARBON-DIOXIDE
PWY-6046	ACRYLATE // CPD-7670 // PROTON // SS-DIMETHYL-BETA-PROPIOTHETIN			Dimethylsulfoniopropionate-Degradation	DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN	SS-DIMETHYL-BETA-PROPIOTHETIN	PROTON // CPD-7670 // ACRYLATE
PWY-5368	FERRICYTOCHROME-B5 // FERROCYTOCHROME-B5 // PROTON // Acceptor // WATER // CPD-17286 // CPD-17285 // OXYGEN-MOLECULE // Donor-H2 // CO-A // Oleoyl-lipid // OLEOYL-COA // Glycerolipids	MONOMER-12589 // MONOMER-12590	G-9662 // G-9663	Conjugated-Fatty-Acid-Biosynthesis	RXN-9670 // RXN-8393 // RXN-8392	OLEOYL-COA // Glycerolipids // OXYGEN-MOLECULE // Donor-H2 // FERROCYTOCHROME-B5 // PROTON	CO-A // CPD-17286 // WATER // Acceptor // FERRICYTOCHROME-B5
PWY-6820	WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-13456 // CPD-13455 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-16661	G-14518	LIGNAN-SYN	RXN-12441	CPD-13455 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-13456 // Ox-NADPH-Hemoprotein-Reductases // WATER
PWY-6098	HOP-2229-ENE // HOPAN-22-OL // SQUALENE // WATER	MONOMER-14419	G-11005	TRITERPENOID-SYN	RXN-4961 // 5.4.99.17-RXN	SQUALENE // WATER	HOPAN-22-OL // HOP-2229-ENE
PWY-2981	CPD-4752 // CPD-4754 // CPD-4753 // CPD-4751 // GERANYLGERANYL-PP // CPD-8719 // CPD-9907 // CPD-16679 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-16681 // CPD-16680 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // PPI // CPD-7097 // ENT-COPALYL-DIPHOSPHATE	OS02G0278700-MONOMER // OS02G0571100-MONOMER // CYC2-MONOMER // MONOMER-7941 // OS11G0474800-MONOMER // OS11G0474900-MONOMER // DTC2-MONOMER // LOC_OS04G10060.1-MONOMER // OS04G0179700-MONOMER // MONOMER-6803 // OS12G0491800-MONOMER // MONOMER-11970 // OS02G0572050-MONOMER // OS02G0570400-MONOMER // DTC1-MONOMER // LOC_OS04G09900.1-MONOMER // OS09G0319800-MONOMER // MONOMERN7F-11771 // CYC1-MONOMER // MONOMER-13868 // OS04G0178400-MONOMER // OS04G0180400-MONOMER // MONOMER-18613 // OS02G0571300-MONOMER // GN7F-16055-MONOMER // MONOMER-13866	OS02G0278700 // OS02G0571100 // CYC2 // G-5981 // OS11G0474800 // OS11G0474900 // DTC2 // LOC_OS04G10060.1 // OS04G0179700 // G-5283 // OS12G0491800 // G-9282 // OS02G0572050 // OS02G0570400 // DTC1 // LOC_OS04G09900.1 // OS09G0319800 // OS04G0178300 // CYC1 // G-10582 // OS04G0178400 // OS04G0180400 // G-18078 // OS02G0571300 // GN7F-16055 // G-10580	TERPENOID-PHYTOALEXINS // DITERPENOID-SYN	RXN-7788 // RXN-15440 // RXN-15439 // RXN-15438 // RXN-15437 // RXN-9291 // RXN-8528 // RXN-4881 // RXN-4884 // RXN-4883 // RXN-4882 // 5.5.1.13-RXN	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // GERANYLGERANYL-PP	CPD-7097 // PPI // CPD-16681 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-4751 // CPD-4753 // CPD-4754 // CPD-4752
PWY-5406	LINOLEIC_ACID // CPD-8679 // CPD-8677 // LINOLENIC_ACID // OXYGEN-MOLECULE // WATER // CPD-8680 // CPD-8678	MONOMER-12726 // MONOMER-12727 // MONOMER-12728	G-9757 // G-9758 // G-9759	Divinyl-Ether-Biosynthesis // Metabolic-Clusters	RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495	LINOLENIC_ACID // OXYGEN-MOLECULE // LINOLEIC_ACID	CPD-8680 // WATER // CPD-8679
PWY-5409	WATER // CPD-8690 // 13-HYDROPEROXYOCTADECA-911-DIENOATE // LINOLEIC_ACID // OXYGEN-MOLECULE	MONOMER-12737 // MONOMER-12736		Divinyl-Ether-Biosynthesis	LIPOXYGENASE-RXN // RXN-8504	LINOLEIC_ACID // OXYGEN-MOLECULE	CPD-8690 // WATER
PWY-7053	CPD-17282 // CARBON-DIOXIDE // CPD-14018 // MALONYL-COA // NADH-P-OR-NOP // CPD-14423 // NAD-P-OR-NOP // CPD-14424 // Acceptor // CPD-14425 // Donor-H2 // WATER // FERRICYTOCHROME-B5 // CPD-17355 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON // CO-A // CPD-17354 // CPD-14426 // Glycerolipids			Docosahexaenoate-Biosynthesis	RXN-16102 // RXN-12797 // RXN-13445 // RXN-13444 // RXN-13443 // RXN-13442 // RXN-17688	OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON // Donor-H2 // NADH-P-OR-NOP // MALONYL-COA // CPD-17282	CPD-17355 // FERRICYTOCHROME-B5 // WATER // Acceptor // NAD-P-OR-NOP // CARBON-DIOXIDE
PWY-7994	Ox-NADPH-Hemoprotein-Reductases // CPD-21266 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-21268 // CPD-21267 // WATER // PPI // CPD-21265 // ENT-COPALYL-DIPHOSPHATE // GERANYLGERANYL-PP	MONOMER-20517 // MONOMER-20518 // MONOMER-20516 // GDQC-111913-MONOMER // MONOMER-16842 // MONOMERDQC-43546 // ZM00001D048874-MONOMER // ZM00001D048867-MONOMER // ZM00001D029648-MONOMER	G-58305 // G-58306 // G-58304 // GDQC-111913 // G-14667 // ZM00001D032961 // ZM00001D048874 // ZM00001D048867 // ZM00001D029648	DITERPENOID-SYN	5.5.1.13-RXN // RXN-19635 // RXN-19638 // RXN-19637 // RXN-19636	GERANYLGERANYL-PP // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	PPI // CPD-21268 // Ox-NADPH-Hemoprotein-Reductases
DTDPRHAMSYN-PWY	DTDP-DEOH-DEOXY-MANNOSE // NADPH // NADP // DTDP-RHAMNOSE // PPI // PROTON // GLC-1-P // TTP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // DTDP-D-GLUCOSE	MONOMERQT-8386 // AT1G63000-MONOMER // AT1G19690-MONOMER	AT4G00560 // AT1G63000 // AT1G19690	dTDP-Sugar-Biosynthesis	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN	PROTON // GLC-1-P // TTP // NADPH // NADPH	WATER // PPI // DTDP-RHAMNOSE // NADP // NADP // DTDP-RHAMNOSE
PWY-3221	NADPH // DTDP-RHAMNOSE // NADP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // PPI // DTDP-D-GLUCOSE // PROTON // GLC-1-P // TTP	AT1G63000-MONOMER // AT1G19690-MONOMER	AT1G63000 // AT1G19690	dTDP-L-Rhamnose-Biosynthesis	DTDPGLUCOSEPP-RXN // DTDPGLUCDEHYDRAT-RXN // RXN-5461	PROTON // GLC-1-P // TTP // NADPH	PPI // WATER // DTDP-RHAMNOSE // NADP
PWY-6325	CPD-11760 // ADENOSYL-HOMO-CYS // CPD-4302 // S-ADENOSYLMETHIONINE // CPD-3041 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-3061 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // PROTON // LICODIONE // CPD-21293	MONOMER-15065 // MONOMER-4742 // MONOMER-4743 // MONOMER-4744 // MONOMER-15064		FLAVONOID-SYN	RXN-19661 // RXN-19660 // RXN-3221 // LICODIONE-2-O-METHYLTRANSFERASE-RXN // RXN-10848	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-3041 // S-ADENOSYLMETHIONINE	PROTON // Ox-NADPH-Hemoprotein-Reductases // WATER // ADENOSYL-HOMO-CYS // CPD-11760
PWY-7135	CPD-14817 // CPD-14816 // CPD-14818 // CPD-14815 // CPD-14814 // Glucopyranose // CPD-14813 // PROTON // ADENOSYL-HOMO-CYS // CPD-14812 // S-ADENOSYLMETHIONINE // DEACETYLISOIPECOSIDE // WATER // DOPAMINE // SECOLOGANIN-CPD	MONOMER-17758 // MONOMER-17759 // MONOMER-17757 // MONOMER-17756 // MONOMER-17755 // MONOMER-17752	G-15432 // G-15433 // G-15431 // G-15430 // G-15429	ALKALOIDS-SYN	4.3.3.3-RXN // RXN-13790 // RXN-13791 // RXN-13792 // RXN-13793 // RXN-13794 // RXN-13795 // RXN-13796	DOPAMINE // SECOLOGANIN-CPD // S-ADENOSYLMETHIONINE	ADENOSYL-HOMO-CYS // PROTON // Glucopyranose // CPD-14817
PWY-6653	CPD1F-128 // PPI // CPD-11669 // GERANYLGERANYL-PP // WATER	MONOMER-15965	G-12274	GIBBERELLIN-SYN	RXN-11779 // RXN-11778	GERANYLGERANYL-PP // WATER	CPD-11669 // PPI // CPD1F-128
PWY-5032	GERANYLGERANYL-PP // CPD1F-128 // PPI // ENT-COPALYL-DIPHOSPHATE	MONOMERDQC-43546 // ZM00001D048874-MONOMER // ZM00001D048867-MONOMER // ZM00001D029648-MONOMER // OS02G0278700-MONOMER // OS02G0571100-MONOMER // CYC2-MONOMER // MONOMER-7941 // AT4G02780-MONOMER // MONOMER-16842 // GDQC-111913-MONOMER // ZM00001D049957-MONOMER // ZM00001D024514-MONOMER // MONOMERDQC-52975 // OS04G0611700-MONOMER // OS02G0568700-MONOMER // OS04G0611800-MONOMER // OS01G0291733-MONOMER // OS04G0612000-MONOMER // MONOMER-7711 // AT1G79460-MONOMER	ZM00001D032961 // ZM00001D048874 // ZM00001D048867 // ZM00001D029648 // OS02G0278700 // OS02G0571100 // CYC2 // G-5981 // AT4G02780 // G-14667 // GDQC-111913 // ZM00001D049957 // ZM00001D024514 // ZM00001D002349 // OS04G0611700 // OS02G0568700 // OS04G0611800 // OS01G0291733 // OS04G0612000 // G-6024 // AT1G79460	GIBBERELLIN-SYN	4.2.3.19-RXN // 5.5.1.13-RXN	GERANYLGERANYL-PP	PPI // CPD1F-128
PWY-5883	CPD-9954 // ADENOSYL-HOMO-CYS // --EPHEDRINE // S-ADENOSYLMETHIONINE // CPD-9953 // Donor-H2 // CPD-9951 // Acceptor // CPD-9950 // CARBON-DIOXIDE // CPD-9949 // PYRUVATE // PROTON // NADH // ACET // BENZOATE // NAD // WATER // AMMONIUM // CPD-674 // PHE			ALKALOIDS-SYN	PHENYLALANINE-AMMONIA-LYASE-RXN // RXN-9336 // RXN-9337 // RXN-9338 // RXN-9339 // RXN-9340 // RXN-9341 // RXN-9342	PHE // NAD // WATER // PYRUVATE // Donor-H2 // S-ADENOSYLMETHIONINE	AMMONIUM // ACET // NADH // PROTON // CARBON-DIOXIDE // Acceptor // --EPHEDRINE // ADENOSYL-HOMO-CYS // CPD-9954
PWY-8031	S-RETICULINE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // S-SCOULERINE // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-20734 // Red-NADPH-Hemoprotein-Reductases // HYDROGEN-PEROXIDE // CPD-21762 // CPD-21761 // OXYGEN-MOLECULE // PROTON			ISOQUINOLINE-ALKALOIDS	RXN-20168 // RXN-20167 // RXN-19238 // RETICULINE-OXIDASE-RXN	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // S-ADENOSYLMETHIONINE // S-RETICULINE	CPD-21762 // HYDROGEN-PEROXIDE // WATER // Ox-NADPH-Hemoprotein-Reductases // ADENOSYL-HOMO-CYS
PWY-5882	WATER // CPD-9948 // CPD-7076 // CPD-9947 // NADPH // ACET // NADP // CO-A // CPD-12215 // COUMARYL-ALCOHOL // ACETYL-COA // ADENOSYL-HOMO-CYS // PROTON // CPD-9930 // S-ADENOSYLMETHIONINE // CPD-9933	MONOMER-13887		PHENYLPROPANOID-SYN	RXN-9312 // RXN-12954 // RXN-11264 // RXN-9335 // RXN-9334	S-ADENOSYLMETHIONINE // COUMARYL-ALCOHOL // ACETYL-COA // NADPH // CPD-7076 // WATER	PROTON // ADENOSYL-HOMO-CYS // CO-A // ACET // NADP // CPD-9948
PWY-5670	CPD-465 // Ox-NADPH-Hemoprotein-Reductases // WATER // EPOXYSQUALENE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // NAD-P-OR-NOP // PPI // SQUALENE // FARNESYL-PP // NADH-P-OR-NOP // PROTON	MONOMERDQC-44250 // MONOMERDQC-47448 // AT5G24150-MONOMER // AT5G24160-MONOMER // AT5G24155-MONOMER // AT5G24140-MONOMER // MONOMER-13443 // AT1G58440-MONOMER // AT4G37760-MONOMER // AT2G22830-MONOMER // AT4G34640-MONOMER // AT4G34650-MONOMER // MONOMER-13442 // MONOMERDQC-44330 // MONOMERDQC-42840	ZM00001D047998 // ZM00001D028299 // AT5G24150 // AT5G24160 // AT5G24155 // AT5G24140 // G-10233 // AT1G58440 // AT4G37760 // AT2G22830 // AT4G34640 // AT4G34650 // G-10232 // ZM00001D034516 // ZM00001D013048	TRITERPENOID-SYN // Lipid-Biosynthesis	RXN-13162 // SQUALENE-MONOOXYGENASE-RXN	FARNESYL-PP // NADH-P-OR-NOP // PROTON // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	PPI // NAD-P-OR-NOP // EPOXYSQUALENE // WATER // Ox-NADPH-Hemoprotein-Reductases
PWY-7154	LANOSTEROL // CPD-4568 // CPD-4573 // 44-DIMETHYL-CHOLESTA-814-24-TRIENOL // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // CYCLOARTENOL // CPD-22096 // CPD-14893 // CPD-14892 // ERGOSTEROL // CPD-14894 // CPD-22098 // CARBON-DIOXIDE // CPD-14891 // FERRICYTOCHROME-B5 // CPD-22099 // FERROCYTOCHROME-B5 // WATER // Ox-NADPH-Hemoprotein-Reductases // FORMATE // CPD-14889 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADPH // CPD-22139 // CPD-22101 // NADP	MONOMER-17808	G-15477	Ergosterol-Biosynthesis	RXN-20446 // RXN-20445 // RXN-20414 // RXN-20412 // RXN-20411 // RXN-13884 // RXN-13882 // RXN-13883 // RXN-13881 // RXN-13879 // 2.1.1.142-RXN	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // FERROCYTOCHROME-B5 // S-ADENOSYLMETHIONINE // CYCLOARTENOL	FORMATE // Ox-NADPH-Hemoprotein-Reductases // WATER // FERRICYTOCHROME-B5 // CARBON-DIOXIDE // ERGOSTEROL // ADENOSYL-HOMO-CYS
PWY-7188	Ox-NADPH-Hemoprotein-Reductases // CPD-6994 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-15079 // ISOORIENTIN // CPD-15083 // WATER // 6C-Glc-2-hydroxyeriodictyol // UDP // PROTON // CPD-15077 // CPD-12575	MONOMER-15865 // MONOMER-15877 // OS06G0289200-MONOMER // OS06G0289900-MONOMER // OS06G0288300-MONOMER // MONOMER-15871	G-12187 // OS06G0289200 // OS06G0289900 // OS06G0288300 // G-12193	FLAVONE-SYN	RXN-14079 // RXN-14082 // RXN-14081 // RXN-14078 // RXN-14077	CPD-12575 // CPD-12575 // CPD-6994 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	UDP // UDP // WATER // CPD-15083 // WATER // ISOORIENTIN // ISOORIENTIN // Ox-NADPH-Hemoprotein-Reductases
PWY-5349	CARBON-DIOXIDE // SUC // CAFFEOYL-COA // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CO-A // CPD-8097 // CPD-18078	AT3G12900-MONOMER // AT5G12270-MONOMER	AT3G12900 // AT5G12270	COUMARIN-SYN	RXN-16763 // RXN-16762	CAFFEOYL-COA // 2-KETOGLUTARATE // OXYGEN-MOLECULE	CPD-8097 // CO-A // SUC // CARBON-DIOXIDE
PWY-7058	Glucopyranose // WATER // CPD-14454 // CPD-14455 // SCOPOLETIN // ADENOSYL-HOMO-CYS // CPD-14452 // S-ADENOSYLMETHIONINE // CPD-14453 // PROTON // UDP // CPD-14461 // CPD-8097 // CPD-12575	MONOMER-17453 // MONOMER-17440 // MONOMER-17433 // MONOMER-17458 // MONOMER-17459 // MONOMER-17463 // MONOMER-17896	G-15204 // G-15223 // G-15536	COUMARIN-SYN	RXN-14182 // RXN-13475 // RXN-13474 // RXN-13473 // RXN-13472 // RXN-13471 // RXN-13470	CPD-8097 // CPD-12575 // S-ADENOSYLMETHIONINE // Glucopyranose	CPD-14461 // UDP // PROTON // CPD-14452 // ADENOSYL-HOMO-CYS // SCOPOLETIN // CPD-14455 // CPD-14454 // WATER
PWY-7120	CPD-11591 // CO-A // FERULOYL-COA // 16-HYDROXYPALMITATE	AT5G63560-MONOMER // AT1G03390-MONOMER // AT4G31910-MONOMER // AT5G41040-MONOMER	AT5G63560 // AT1G03390 // AT4G31910 // AT5G41040	Metabolic-Clusters // PLANT-CELL-STRUCTURE	RXN-10749	FERULOYL-COA // 16-HYDROXYPALMITATE	CO-A // CPD-11591
ETOH-ACETYLCOA-ANA-PWY	ETOH // ACETYL-COA // NADH // PROTON // NAD // CO-A // ACETALD	AT5G24760-MONOMER // AT5G42250-MONOMER // AT4G22110-MONOMER // AT1G64710-MONOMER // AT1G22430-MONOMER // AT1G32780-MONOMER // AT1G22440-MONOMER // AT2G29350-MONOMER // AT1G77120-MONOMER	AT5G24760 // AT5G42250 // AT4G22110 // AT1G64710 // AT1G22430 // AT1G32780 // AT1G22440 // AT2G29350 // AT1G77120	Ethanol-Degradation	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN	NAD // CO-A // ETOH	PROTON // NADH // ACETYL-COA
